"Alecto","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Unused","Alecto_","0037","Alecto_0037","","","","我真希望我们可以不要这样。","","",""
"Unused","Alecto_","0038","Alecto_0038","","","","为什么就一定要战斗呢。","","",""
"Unused","Alecto_","0039","Alecto_0039","","","","是时候清算一下了。","","",""
"Unused","Alecto_","0040","Alecto_0040","","","","我还在想你应该出现了吧。","","",""
"Integrated","Alecto_","0079","Alecto_0079","","","","吃我一招！","","",""
"Integrated","Alecto_","0080","Alecto_0080","","","","呃啊啊！","","",""
"Integrated","Alecto_","0081","Alecto_0081","","","","痛。","","",""
"Integrated","Alecto_","0082","Alecto_0082","","","","接招！","","",""
"Integrated","Alecto_","0083","Alecto_0083","","","","尝尝这个！","","",""
"Integrated","Alecto_","0084","Alecto_0084","","","","快死吧！","","",""
"Integrated","Alecto_","0085","Alecto_0085","","","","吃我一招！","","",""
"Integrated","Alecto_","0086","Alecto_0086","","","","接着！","","",""
"Integrated","Alecto_","0087","Alecto_0087","","","","死吧！","","",""
"Integrated","Alecto_","0088","Alecto_0088","","","","杀！","","",""
"Integrated","Alecto_","0089","Alecto_0089","","","","受苦吧！","","",""
"Integrated","Alecto_","0090","Alecto_0090","","","","接着！","","",""
"Integrated","Alecto_","0091","Alecto_0091","","","","流血吧！","","",""
"Integrated","Alecto_","0092","Alecto_0092","","","","看看这个！","","",""
"Integrated","Alecto_","0093","Alecto_0093","","","","我说了快死！","","",""
"Integrated","Alecto_","0094","Alecto_0094","","","","接好了，流红血的！","","",""
"Integrated","Alecto_","0095","Alecto_0095","","","","如何！","","",""
"Integrated","Alecto_","0096","Alecto_0096","","","","跑吧。","","",""
"Integrated","Alecto_","0097","Alecto_0097","","","","跑吧！","","",""
"Integrated","Alecto_","0098","Alecto_0098","","","","你跑呀！","","",""
"Integrated","Alecto_","0099","Alecto_0099","","","","真是可怜。","","",""
"Integrated","Alecto_","0100","Alecto_0100","","","","我要杀死你！","","",""
"Integrated","Alecto_","0101","Alecto_0101","","","","够了！","","",""
"Integrated","Alecto_","0102","Alecto_0102","","","","跑吧。","","",""
"Integrated","Alecto_","0103","Alecto_0103","","","","你跑不了的。","","",""
"Integrated","Alecto_","0104","Alecto_0104","","","","站住别动。","","",""
"Integrated","Alecto_","0105","Alecto_0105","","","","有你好看的。","","",""
"Integrated","Alecto_","0106","Alecto_0106","","","","你最好快跑。","","",""
"Integrated","Alecto_","0107","Alecto_0107","","","","站住别动！","","",""
"Integrated","Alecto_","0108","Alecto_0108","","","","注意脚下。","","",""
"Integrated","Alecto_","0109","Alecto_0109","","","","我会打败你。","","",""
"Integrated","Alecto_","0110","Alecto_0110","","","","痛苦…","","",""
"Integrated","Alecto_","0111","Alecto_0111","","","","拿好…","","",""
"Integrated","Alecto_","0112","Alecto_0112","","","","在这里。","","",""
"Integrated","Alecto_","0113","Alecto_0113","","","","抓到你了。","","",""
"Integrated","Alecto_","0114","Alecto_0114","","","","再来一下。","","",""
"Integrated","Alecto_","0115","Alecto_0115","","","","准备好了吗？","","",""
"Integrated","Alecto_","0116","Alecto_0116","","","","试试躲开这个。","","",""
"Integrated","Alecto_","0117","Alecto_0117","","","","再靠近点。","","",""
"Integrated","Alecto_","0118","Alecto_0118","","","","别动。","","",""
"Integrated","Alecto_","0119","Alecto_0119","","","","记得这个吗？","","",""
"Integrated","Alecto_","0120","Alecto_0120","","","","我会让你喊疼的。","","",""
"Integrated","Alecto_","0121","Alecto_0121","","","","还死撑呢。","","",""
"Integrated","Alecto_","0122","Alecto_0122","","","","去死吧。","","",""
"Integrated","Alecto_","0123","Alecto_0123","","","","还没死？","","",""
"Integrated","Alecto_","0124","Alecto_0124","","","","你怎么还没死呢。","","",""
"Integrated","Alecto_","0125","Alecto_0125","","","","还活着呢。","","",""
"Integrated","Alecto_","0126","Alecto_0126","","","","我说了快死！","","",""
"Integrated","Alecto_","0127","Alecto_0127","","","","噢，你受伤了噢。","","",""
"Integrated","Alecto_","0128","Alecto_0128","","","","我会杀死你的。","","",""
"Integrated","Alecto_","0129","Alecto_0129","","","","我要杀死你。","","",""
"Integrated","Alecto_","0130","Alecto_0130","","","","噢，你受伤了。","","",""
"Integrated","Alecto_","0131","Alecto_0131","","","","还没完？行。","","",""
"Integrated","Alecto_","0132","Alecto_0132","","","","只要你死了就好了。","","",""
"Integrated","Alecto_","0133","Alecto_0133","","","","真机灵。","","",""
"Integrated","Alecto_","0134","Alecto_0134","","","","放弃吧。","","",""
"Integrated","Alecto_","0135","Alecto_0135","","","","你已经死了。","","",""
"Integrated","Alecto_","0136","Alecto_0136","","","","你是我的。","","",""
"Integrated","Alecto_","0137","Alecto_0137","","","","你撑不下去了。","","",""
"Integrated","Alecto_","0138","Alecto_0138","","","","可逮着你了。","","",""
"Integrated","Alecto_","0139","Alecto_0139","","","","一定很疼吧。","","",""
"Integrated","Alecto_","0140","Alecto_0140","","","","最后一次了。","","",""
"Integrated","Alecto_","0141","Alecto_0141","","","","哈！","","",""
"Integrated","Alecto_","0142","Alecto_0142","","","","我会抓到你的。","","",""
"Integrated","Alecto_","0143","Alecto_0143","","","","疼吗？","","",""
"Integrated","Alecto_","0144","Alecto_0144","","","","有趣…！","","",""
"Integrated","Alecto_","0145","Alecto_0145","","","","噢嚯嚯…！","","",""
"Integrated","Alecto_","0146","Alecto_0146","","","","生气了吗？","","",""
"Integrated","Alecto_","0147","Alecto_0147","","","","一定是命中要害了。","","",""
"Integrated","Alecto_","0148","Alecto_0148","","","","怎么了？","","",""
"Integrated","Alecto_","0149","Alecto_0149","","","","所以…！","","",""
"Integrated","Alecto_","0150","Alecto_0150","","","","所以...","","",""
"Integrated","Alecto_","0151","Alecto_0151","","","","什么——","","",""
"Integrated","Alecto_","0152","Alecto_0152","","","","什么？","","",""
"Integrated","Alecto_","0153","Alecto_0153","","","","呃？","","",""
"Integrated","Alecto_","0154","Alecto_0154","","","","喔啊。","","",""
"Integrated","Alecto_","0155","Alecto_0155","","","","别激动，流红血的。","","",""
"Integrated","Alecto_","0156","Alecto_0156","","","","噢，你疯了！","","",""
"Integrated","Alecto_","0157","Alecto_0157","","","","放松点，流红血的。","","",""
"Integrated","Alecto_","0158","Alecto_0158","","","","噢，很疼吗？","","",""
"Integrated","Alecto_","0159","Alecto_0159","","","","这下如何？","","",""
"Integrated","Alecto_","0160","Alecto_0160","","","","这没什么。","","",""
"Integrated","Alecto_","0161","Alecto_0161","","","","你在流血。","","",""
"Integrated","Alecto_","0162","Alecto_0162","","","","记住了。","","",""
