"Eurydice","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Darren","Eurydice_","0004","Eurydice_0004","","","","是他让你这么做的？好吧，亲爱的，你快继续你自己的事去吧。但你不能空手而归，这是规矩，你随便挑吧，我请客！不过没他的份。","","",""
"Integrated","Eurydice_","0033","Eurydice_0033","","","","","","",""
"Integrated","Eurydice_","0034","Eurydice_0034","","","","","","",""
"Integrated","Eurydice_","0035","Eurydice_0035","","","","","","",""
"Integrated","Eurydice_","0036","Eurydice_0036","","","","","","",""
"Integrated","Eurydice_","0037","Eurydice_0037","","","","","","",""
"Integrated","Eurydice_","0038","Eurydice_0038","","","","","","",""
"Integrated","Eurydice_","0039","Eurydice_0039","","","","","","",""
"Integrated","Eurydice_","0040","Eurydice_0040","","","","","","",""
"Integrated","Eurydice_","0041","Eurydice_0041","","","","","","",""
"Darren","Eurydice_","0050","Eurydice_0050","","","","你知道，你比他们说的要慷慨的多，陛下！我觉得自己也很慷慨，所以这样吧！我要把这个敬献给您。","","",""
"Integrated","Eurydice_","0051","Eurydice_0051","","","","谁在那儿？","","",""
"Integrated","Eurydice_","0052","Eurydice_0052","","","","是的，你想要什么？哦！","","",""
"Integrated","Eurydice_","0053","Eurydice_0053","","","","那有人吗？","","",""
"Integrated","Eurydice_","0054","Eurydice_0054","","","","噢嗨！","","",""
"Integrated","Eurydice_","0055","Eurydice_0055","","","","嗨，亲爱的！","","",""
"Integrated","Eurydice_","0056","Eurydice_0056","","","","你好，亲爱的！","","",""
"Integrated","Eurydice_","0057","Eurydice_0057","","","","嘿，你好！","","",""
"Integrated","Eurydice_","0058","Eurydice_0058","","","","嘿！","","",""
"Integrated","Eurydice_","0059","Eurydice_0059","","","","陛下！","","",""
"Integrated","Eurydice_","0060","Eurydice_0060","","","","陛下。","","",""
"Integrated","Eurydice_","0061","Eurydice_0061","","","","看看谁来了。","","",""
"Integrated","Eurydice_","0062","Eurydice_0062","","","","嗨！","","",""
"Integrated","Eurydice_","0063","Eurydice_0063","","","","欢迎！","","",""
"Integrated","Eurydice_","0064","Eurydice_0064","","","","赶快进来！","","",""
"Integrated","Eurydice_","0065","Eurydice_0065","","","","别拘束。","","",""
"Darren","Eurydice_","0066","Eurydice_0066","","","","所有人！","","",""
"Darren","Eurydice_","0067","Eurydice_0067","","","","来吧！","","",""
"Darren","Eurydice_","0068","Eurydice_0068","","","","和我一起唱吧！","","",""
"Darren","Eurydice_","0069","Eurydice_0069","","","","唱吧！","","",""
"Darren","Eurydice_","0070","Eurydice_0070","","","","耶！","","",""
"Darren","Eurydice_","0071","Eurydice_0071","","","","就是这样！","","",""
"Darren","Eurydice_","0072","Eurydice_0072","","","","给自己一点鼓励！","","",""
"Darren","Eurydice_","0073","Eurydice_0073","","","","你真是个天才！","","",""
"Integrated","Eurydice_","0094","Eurydice_0094","","","","","","",""
"Integrated","Eurydice_","0095","Eurydice_0095","","","","","","",""
"Integrated","Eurydice_","0096","Eurydice_0096","","","","","","",""
"Integrated","Eurydice_","0097","Eurydice_0097","","","","","","",""
"Integrated","Eurydice_","0098","Eurydice_0098","","","","","","",""
"Integrated","Eurydice_","0111","Eurydice_0111","","","","好吧，再见！","","",""
"Integrated","Eurydice_","0112","Eurydice_0112","","","","小心点，亲爱的！","","",""
"Integrated","Eurydice_","0113","Eurydice_0113","","","","多保重，好吗？","","",""
"Integrated","Eurydice_","0114","Eurydice_0114","","","","再见了，陛下！","","",""
"Integrated","Eurydice_","0115","Eurydice_0115","","","","再见！！","","",""
"Integrated","Eurydice_","0116","Eurydice_0116","","","","好的，再见！","","",""
"Integrated","Eurydice_","0117","Eurydice_0117","","","","那就再见吧，好吗？","","",""
"Integrated","Eurydice_","0118","Eurydice_0118","","","","一帆风顺！","","",""
"Integrated","Eurydice_","0119","Eurydice_0119","","","","多保重！","","",""
"Integrated","Eurydice_","0120","Eurydice_0120","","","","下次见！","","",""
"Integrated","Eurydice_","0121","Eurydice_0121","","","","再会！","","",""
"Integrated","Eurydice_","0122","Eurydice_0122","","","","您可以的！","","",""
"Integrated","Eurydice_","0123","Eurydice_0123","","","","好好享用吧！","","",""
"Integrated","Eurydice_","0124","Eurydice_0124","","","","那个我请客！","","",""
"Integrated","Eurydice_","0125","Eurydice_0125","","","","给你！","","",""
"Integrated","Eurydice_","0126","Eurydice_0126","","","","全是你的！","","",""
"Integrated","Eurydice_","0127","Eurydice_0127","","","","新鲜出炉的！","","",""
"Integrated","Eurydice_","0128","Eurydice_0128","","","","您说了算！","","",""
"Integrated","Eurydice_","0129","Eurydice_0129","","","","没问题！","","",""
"Integrated","Eurydice_","0130","Eurydice_0130","","","","听起来不错！","","",""
"Integrated","Eurydice_","0131","Eurydice_0131","","","","愿意为您效劳！","","",""
"Darren","Eurydice_","0132","Eurydice_0132","","","","我能为你做点什么，亲爱的？","","",""
"Darren","Eurydice_","0133","Eurydice_0133","","","","你需要什么，亲爱的。","","",""
"Darren","Eurydice_","0137","Eurydice_0137","","","","好的，这是什么？","","",""
"Darren","Eurydice_","0139","Eurydice_0139","","","","嘿，尊敬的陛下，我该怎么感谢您呢？","","",""
"Integrated","Eurydice_","0140","Eurydice_0140","","","","没问题，亲爱的！","","",""
"Integrated","Eurydice_","0141","Eurydice_0141","","","","赶快过来！","","",""
"Integrated","Eurydice_","0142","Eurydice_0142","","","","没问题，亲爱的。","","",""
"Integrated","Eurydice_","0143","Eurydice_0143","","","","那将是我的荣幸。","","",""
"Integrated","Eurydice_","0144","Eurydice_0144","","","","哈，我就知道！","","",""
"Integrated","Eurydice_","0145","Eurydice_0145","","","","哦，真有眼光，亲爱的。","","",""
"Integrated","Eurydice_","0146","Eurydice_0146","","","","当然啦！","","",""
"Integrated","Eurydice_","0147","Eurydice_0147","","","","悉听尊便，我的陛下。","","",""
"Integrated","Eurydice_","0148","Eurydice_0148","","","","这个可以。","","",""
"Integrated","Eurydice_","0149","Eurydice_0149","","","","听起来不错，没问题！","","",""
"Integrated","Eurydice_","0166","Eurydice_0166","","","","<轻笑>","","",""
"Integrated","Eurydice_","0167","Eurydice_0167","","","","<轻笑>","","",""
"Darren","Eurydice_","0168","Eurydice_0168","","","","<大笑>","","",""
"Darren","Eurydice_","0169","Eurydice_0169","","","","<大笑>","","",""
"Darren","Eurydice_","0170","Eurydice_0170","","","","<嘲笑>","","",""
"Darren","Eurydice_","0171","Eurydice_0171","","","","<嘲笑>","","",""
"Integrated","Eurydice_","0184","Eurydice_0184","","","","来吧，请进。","","",""
"Integrated","Eurydice_","0185","Eurydice_0185","","","","现在不行。","","",""
"Integrated","Eurydice_","0186","Eurydice_0186","","","","嘿！","","",""
"Integrated","Eurydice_","0187","Eurydice_0187","","","","请便吧。","","",""
"Integrated","Eurydice_","0188","Eurydice_0188","","","","让我高歌一首吧。","","",""
"Integrated","Eurydice_","0189","Eurydice_0189","","","","不好意思！","","",""
"Integrated","Eurydice_","0190","Eurydice_0190","","","","呃啊！","","",""
"Integrated","Eurydice_","0191","Eurydice_0191","","","","随便你吧！","","",""
"Integrated","Eurydice_","0192","Eurydice_0192","","","","抱歉，我在唱歌呢！","","",""
"Integrated","Eurydice_","0193","Eurydice_0193","","","","真的吗，亲爱的？","","",""
"Integrated","Eurydice_","0194","Eurydice_0194","","","","玩得还开心吗？","","",""
"Integrated","Eurydice_","0183","Eurydice_0183","","","","来吧。","","",""
"Integrated","Eurydice_","0184","Eurydice_0184","","","","来吧，请进。","","",""
"Integrated","Eurydice_","0185","Eurydice_0185","","","","现在不行。","","",""
"Integrated","Eurydice_","0186","Eurydice_0186","","","","嘿！","","",""
"Integrated","Eurydice_","0187","Eurydice_0187","","","","请便吧。","","",""
"Integrated","Eurydice_","0188","Eurydice_0188","","","","让我高歌一曲吧。","","",""
"Integrated","Eurydice_","0189","Eurydice_0189","","","","不好意思！","","",""
"Integrated","Eurydice_","0190","Eurydice_0190","","","","呃啊！","","",""
"Integrated","Eurydice_","0191","Eurydice_0191","","","","随便你吧！","","",""
"Integrated","Eurydice_","0192","Eurydice_0192","","","","抱歉，我在唱歌呢！","","",""
"Integrated","Eurydice_","0193","Eurydice_0193","","","","真的吗，亲爱的？","","",""
"Integrated","Eurydice_","0194","Eurydice_0194","","","","玩得还开心吗？","","",""
"Integrated","Eurydice_","0219","Eurydice_0219","","","","下次见！","","",""
"Integrated","Eurydice_","0220","Eurydice_0220","","","","别担心！","","",""
"Integrated","Eurydice_","0221","Eurydice_0221","","","","多保重！","","",""
"Integrated","Eurydice_","0222","Eurydice_0222","","","","再见了，亲爱的！","","",""
"Integrated","Eurydice_","0223","Eurydice_0223","","","","一路顺风！","","",""
"Integrated","Eurydice_","0224","Eurydice_0224","","","","祝你安全！","","",""
"Integrated","Eurydice_","0225","Eurydice_0225","","","","选得不错！","","",""
"Integrated","Eurydice_","0226","Eurydice_0226","","","","太棒了。","","",""
"Integrated","Eurydice_","0227","Eurydice_0227","","","","马上就准备好！","","",""
"Integrated","Eurydice_","0228","Eurydice_0228","","","","尝尝这个！","","",""
"Integrated","Eurydice_","0229","Eurydice_0229","","","","没问题，给你吧！","","",""
"Integrated","Eurydice_","0230","Eurydice_0230","","","","当心点，这东西很烫！","","",""
"Integrated","Eurydice_","0231","Eurydice_0231","","","","来吧，好好尝尝吧！","","",""
"Integrated","Eurydice_","0232","Eurydice_0232","","","","希望你还喜欢！","","",""
"Integrated","Eurydice_","0256","Eurydice_0256","","","","是哈迪斯之子！","","",""
"Integrated","Eurydice_","0257","Eurydice_0257","","","","嘿！","","",""
"Integrated","Eurydice_","0258","Eurydice_0258","","","","欢迎回来！","","",""
"Integrated","Eurydice_","0259","Eurydice_0259","","","","进来吧！","","",""
"Integrated","Eurydice_","0260","Eurydice_0260","","","","发生了什么事情？","","",""
"Integrated","Eurydice_","0261","Eurydice_0261","","","","快看，俄耳！","","",""
"Integrated","Eurydice_","0262","Eurydice_0262","","","","快看是谁来了，俄耳！","","",""
