"Aphrodite","ID","ID","ID","","","Line","","Notes by AR","Notes by DK"
"Darren","Aphrodite_","0038","Aphrodite_0038","","","光靠衣装可得不到我的青睐哦，亲爱的，不过：这也是加分项哦！来，趁这好时机，我也来回个礼吧。","","",""
"Darren","Aphrodite_","0039","Aphrodite_0039","","","满载着你的爱的贡品吗，小小神？有机会我就把它一口喝光；现在我也送你一样东西。","","",""
"Darren","Aphrodite_","0043","Aphrodite_0043","","","雅典娜女士，在您尊贵的庇护下，我向您致以我最诚挚的赞颂！还有什么来着？","","",""
"Integrated","Aphrodite_","0075","Aphrodite_0075","","","你会爱上这个的！","","",""
"Integrated","Aphrodite_","0076","Aphrodite_0076","","","谁敢威胁我的小小神？","","",""
"Integrated","Aphrodite_","0077","Aphrodite_0077","","","放着我来，亲爱的！","","",""
"Darren","Aphrodite_","0080","Aphrodite_0080","","","你好哦，小小神！","","",""
"Integrated","Aphrodite_","0081","Aphrodite_0081","","","见到你真开心呢。","","",""
"Darren","Aphrodite_","0082","Aphrodite_0082","","","振作起来，亲爱的！","","",""
"Integrated","Aphrodite_","0083","Aphrodite_0083","","","看看你哦。","","",""
"Integrated","Aphrodite_","0084","Aphrodite_0084","","","好呀，又见面了！","","",""
"Darren","Aphrodite_","0085","Aphrodite_0085","","","完美，亲爱的。","","",""
"Darren","Aphrodite_","0086","Aphrodite_0086","","","没问题。","","",""
"Integrated","Aphrodite_","0087","Aphrodite_0087","","","乐意效劳！","","",""
"Integrated","Aphrodite_","0088","Aphrodite_0088","","","我喜欢那声音。","","",""
"Darren","Aphrodite_","0089","Aphrodite_0089","","","美啊。","","",""
"Integrated","Aphrodite_","0090","Aphrodite_0090","","","我很高兴，亲爱的。","","",""
"Integrated","Aphrodite_","0091","Aphrodite_0091","","","真周到。","","",""
"Integrated","Aphrodite_","0092","Aphrodite_0092","","","哎呀谢谢你，亲爱的！","","",""
"Integrated","Aphrodite_","0093","Aphrodite_0093","","","你真不该那样做！","","",""
"Integrated","Aphrodite_","0094","Aphrodite_0094","","","我不会忘记的，没那么快！","","",""
"Integrated","Aphrodite_","0095","Aphrodite_0095","","","感激不尽。","","",""
"Integrated","Aphrodite_","0096","Aphrodite_0096","","","我好感动！","","",""
"Darren","Aphrodite_","0097","Aphrodite_0097","","","站好了，我给你个东西！","","",""
"Darren","Aphrodite_","0098","Aphrodite_0098","","","给你这个，亲爱的。","","",""
"Darren","Aphrodite_","0099","Aphrodite_0099","","","这是我爱的证明。","","",""
"Darren","Aphrodite_","0100","Aphrodite_0100","","","我希望把这个交给你。","","",""
"Darren","Aphrodite_","0101","Aphrodite_0101","","","你应得的，亲爱的。","","",""
"Darren","Aphrodite_","0102","Aphrodite_0102","","","哦嚯嚯嚯，不。","","",""
"Darren","Aphrodite_","0103","Aphrodite_0103","","","太令人失望了，说实话。","","",""
"Integrated","Aphrodite_","0104","Aphrodite_0104","","","他们怎么就学不乖呢？","","",""
"Darren","Aphrodite_","0105","Aphrodite_0105","","","我不该抱过多期望。","","",""
"Darren","Aphrodite_","0106","Aphrodite_0106","","","我们有时候也会犯错。","","",""
"Darren","Aphrodite_","0107","Aphrodite_0107","","","好像没什么用。","","",""
"Integrated","Aphrodite_","0108","Aphrodite_0108","","","最好别惹我。","","",""
"Darren","Aphrodite_","0109","Aphrodite_0109","","","你这小…！","","",""
"Integrated","Aphrodite_","0110","Aphrodite_0110","","","你简直没救了！","","",""
"Integrated","Aphrodite_","0111","Aphrodite_0111","","","你怎么回事？","","",""
"Integrated","Aphrodite_","0112","Aphrodite_0112","","","你认真的？","","",""
"Integrated","Aphrodite_","0113","Aphrodite_0113","","","真是愚昧至极。","","",""
"Integrated","Aphrodite_","0114","Aphrodite_0114","","","你最好不要再惹我了。","","",""
"Darren","Aphrodite_","0115","Aphrodite_0115","","","现在不行，亲爱的，我很忙。","","",""
"Darren","Aphrodite_","0116","Aphrodite_0116","","","我现在没空。","","",""
"Darren","Aphrodite_","0117","Aphrodite_0117","","","走开，现在没兴趣。","","",""
"Darren","Aphrodite_","0118","Aphrodite_0118","","","真的？","","",""
"Darren","Aphrodite_","0119","Aphrodite_0119","","","真的…？","","",""
"Darren","Aphrodite_","0120","Aphrodite_0120","","","真想不到。","","",""
"Darren","Aphrodite_","0121","Aphrodite_0121","","","怎么可能！","","",""
"Integrated","Aphrodite_","0122","Aphrodite_0122","","","什么？","","",""
"Darren","Aphrodite_","0123","Aphrodite_0123","","","什么…？","","",""
"Darren","Aphrodite_","0124","Aphrodite_0124","","","不敢相信！","","",""
"Darren","Aphrodite_","0125","Aphrodite_0125","","","不敢相信…！","","",""
"Darren","Aphrodite_","0126","Aphrodite_0126","","","太荒谬了！","","",""
"Darren","Aphrodite_","0127","Aphrodite_0127","","","太荒谬了…！","","",""
"Darren","Aphrodite_","0128","Aphrodite_0128","","","太美了！","","",""
"Integrated","Aphrodite_","0129","Aphrodite_0129","","","你可真是个甜心呢。","","",""
"Integrated","Aphrodite_","0130","Aphrodite_0130","","","真好呀。","","",""
"Darren","Aphrodite_","0131","Aphrodite_0131","","","真了不起！","","",""
"Darren","Aphrodite_","0132","Aphrodite_0132","","","好极了。","","",""
"Integrated","Aphrodite_","0160","Aphrodite_0160","","","我知道你对我是真心实意的！","","",""
"Integrated","Aphrodite_","0161","Aphrodite_0161","","","我就知道你会来我身边。","","",""
"Integrated","Aphrodite_","0162","Aphrodite_0162","","","你还能选谁呢？","","",""
"Integrated","Aphrodite_","0163","Aphrodite_0163","","","永远听从你的真心。","","",""
"Integrated","Aphrodite_","0164","Aphrodite_0164","","","你的本心永远不会使你偏离正道。","","",""
"Integrated","Aphrodite_","0165","Aphrodite_0165","","","真是个明智的决定啊，亲爱的。","","",""
"Integrated","Aphrodite_","0166","Aphrodite_0166","","","我会直击它们的内心！","","",""
"Integrated","Aphrodite_","0167","Aphrodite_0167","","","来让事情变得复杂一点吧，嗯？","","",""
"Integrated","Aphrodite_","0168","Aphrodite_0168","","","这将是一场愉快的游戏！","","",""
"Integrated","Aphrodite_","0169","Aphrodite_0169","","","纯粹的欲望，燃烧吧！","","",""
"Integrated","Aphrodite_","0170","Aphrodite_0170","","","亲爱的你可真是勇敢啊！","","",""
"Integrated","Aphrodite_","0171","Aphrodite_0171","","","你现在知道呼唤我了？","","",""
