"Chaos","ID","ID","ID","","","","Line","","Notes by AR","Notes by DK"
"Integrated","Chaos_","0023","Chaos_0023","","","","那就这样吧。","","",""
"Integrated","Chaos_","0024","Chaos_0024","","","","我觉得没理由不同意。","","",""
"Integrated","Chaos_","0025","Chaos_0025","","","","如果你希望这样，那就实现它吧。","","",""
"Integrated","Chaos_","0026","Chaos_0026","","","","很好，冥王之子。","","",""
"Integrated","Chaos_","0027","Chaos_0027","","","","可以接受。","","",""
"Integrated","Chaos_","0028","Chaos_0028","","","","我猜到你会这样选择。","","",""
"Integrated","Chaos_","0029","Chaos_0029","","","","那就这样吧。","","",""
"Integrated","Chaos_","0030","Chaos_0030","","","","为何不呢。","","",""
"Integrated","Chaos_","0031","Chaos_0031","","","","这样应该很有意思。","","",""
"Integrated","Chaos_","0032","Chaos_0032","","","","前进吧，冥王之子。","","",""
"Integrated","Chaos_","0033","Chaos_0033","","","","我的印记跟随着你。","","",""
"Integrated","Chaos_","0034","Chaos_0034","","","","感谢光顾。","","",""
"Integrated","Chaos_","0035","Chaos_0035","","","","按你说的来。","","",""
"Darren","Chaos_","0036","Chaos_0036","","","","不想赌一把是吗？","","",""
"Darren","Chaos_","0037","Chaos_0037","","","","下次再见了。","","",""
"Darren","Chaos_","0038","Chaos_0038","","","","我完全理解。","","",""
"Integrated","Chaos_","0039","Chaos_0039","","","","在外小心，冥王之子。","","",""
"Integrated","Chaos_","0040","Chaos_0040","","","","你考虑得可真周到。","","",""
"Darren","Chaos_","0041","Chaos_0041","","","","噢，好吧。","","",""
"Darren","Chaos_","0042","Chaos_0042","","","","那么，再会了。","","",""
"Darren","Chaos_","0043","Chaos_0043","","","","别无他选也是一种选择。","","",""
"Integrated","Chaos_","0044","Chaos_0044","","","","可以接受这决定。","","",""
"Integrated","Chaos_","0045","Chaos_0045","","","","做你认为最好的决定。","","",""
"Darren","Chaos_","0046","Chaos_0046","","","","我们下次再见。","","",""
"Darren","Chaos_","0047","Chaos_0047","","","","你一定有自己的想法。","","",""
"Darren","Chaos_","0093","Chaos_0093","","","","如果你献给我这样的贡品，那我可就得好好回礼了。冥王之子，你可真是个有趣的人呢。","","",""
"Integrated","Chaos_","0096","Chaos_0096","","","","真是有趣。","","",""
"Integrated","Chaos_","0097","Chaos_0097","","","","真没想到。","","",""
"Integrated","Chaos_","0098","Chaos_0098","","","","真好玩。","","",""
"Integrated","Chaos_","0099","Chaos_0099","","","","死亡然后重生。","","",""
"Integrated","Chaos_","0100","Chaos_0100","","","","真是搞笑。","","",""
"Integrated","Chaos_","0101","Chaos_0101","","","","太惨了。","","",""
"Integrated","Chaos_","0102","Chaos_0102","","","","这死法恰到好处。","","",""
"Integrated","Chaos_","0110","Chaos_0110","","","","我明白。","","",""
"Integrated","Chaos_","0111","Chaos_0111","","","","可以。","","",""
"Integrated","Chaos_","0112","Chaos_0112","","","","好的。","","",""
"Darren","Chaos_","0113","Chaos_0113","","","","按你的来吧。","","",""
"Integrated","Chaos_","0114","Chaos_0114","","","","没问题。","","",""
"Darren","Chaos_","0115","Chaos_0115","","","","我很高兴。","","",""
"Darren","Chaos_","0116","Chaos_0116","","","","感谢你，冥王之子。","","",""
"Integrated","Chaos_","0117","Chaos_0117","","","","我喜欢。","","",""
"Darren","Chaos_","0118","Chaos_0118","","","","这贡品不错。","","",""
"Darren","Chaos_","0119","Chaos_0119","","","","我很喜欢。","","",""
"Darren","Chaos_","0120","Chaos_0120","","","","感谢你。","","",""
"Darren","Chaos_","0121","Chaos_0121","","","","你太慷慨了。","","",""
"Integrated","Chaos_","0122","Chaos_0122","","","","我给你个东西。","","",""
"Integrated","Chaos_","0123","Chaos_0123","","","","这是给你的。","","",""
"Integrated","Chaos_","0124","Chaos_0124","","","","谨此表达我的谢意。","","",""
"Integrated","Chaos_","0125","Chaos_0125","","","","小小礼品以表谢意。","","",""
"Integrated","Chaos_","0126","Chaos_0126","","","","我希望让你收下这个。","","",""
"Integrated","Chaos_","0127","Chaos_0127","","","","毫无新意。","","",""
"Integrated","Chaos_","0128","Chaos_0128","","","","可以料到。","","",""
"Integrated","Chaos_","0129","Chaos_0129","","","","这是不可避免的后果。","","",""
"Integrated","Chaos_","0130","Chaos_0130","","","","我觉得这应该躲不了。","","",""
"Integrated","Chaos_","0131","Chaos_0131","","","","只有这样了。","","",""
"Integrated","Chaos_","0132","Chaos_0132","","","","这跟我想象的不太一样。","","",""
"Integrated","Chaos_","0133","Chaos_0133","","","","当心，冥王之子。","","",""
"Integrated","Chaos_","0134","Chaos_0134","","","","很不明智。","","",""
"Darren","Chaos_","0135","Chaos_0135","","","","你太放肆了。","","",""
"Darren","Chaos_","0136","Chaos_0136","","","","你的行为我都不放在眼里。","","",""
"Darren","Chaos_","0137","Chaos_0137","","","","最好不要这样试探我。","","",""
"Darren","Chaos_","0138","Chaos_0138","","","","你最好不要这样试探我善良的底线。","","",""
"Integrated","Chaos_","0139","Chaos_0139","","","","你的行为缺乏判断力。","","",""
"Darren","Chaos_","0140","Chaos_0140","","","","我想一个人呆着，你走吧。","","",""
"Unused","Chaos_","0141","Chaos_0141","","","","我现在不想被人打扰。","","",""
"Unused","Chaos_","0142","Chaos_0142","","","","呆太久会令人生厌的，冥王之子。","","",""
"Integrated","Chaos_","0143","Chaos_0143","","","","真是令人意想不到。","","",""
"Integrated","Chaos_","0144","Chaos_0144","","","","噢，这可有点奇怪啊。","","",""
"Integrated","Chaos_","0145","Chaos_0145","","","","真是有趣啊。","","",""
"Integrated","Chaos_","0146","Chaos_0146","","","","真是太奇特了。","","",""
"Integrated","Chaos_","0147","Chaos_0147","","","","真是没料到。","","",""
"Integrated","Chaos_","0148","Chaos_0148","","","","真是厉害啊。","","",""
"Integrated","Chaos_","0149","Chaos_0149","","","","值得表扬。","","",""
"Integrated","Chaos_","0150","Chaos_0150","","","","你的表现令我愉悦。","","",""
"Integrated","Chaos_","0151","Chaos_0151","","","","你真是与众不同，冥王之子。","","",""
"Integrated","Chaos_","0152","Chaos_0152","","","","真是有趣的技巧。","","",""
"Integrated","Chaos_","0153","Chaos_0153","","","","不得不说真是令人享受的表现。","","",""
"Integrated","Chaos_","0189","Chaos_0189","","","","我呼唤你...","","",""
"Integrated","Chaos_","0190","Chaos_0190","","","","哈迪斯之子...","","",""
"Integrated","Chaos_","0191","Chaos_0191","","","","来吧，冥王之子。","","",""
"Integrated","Chaos_","0192","Chaos_0192","","","","来我身边...","","",""
"Integrated","Chaos_","0193","Chaos_0193","","","","跟从我的声音...","","",""
"Integrated","Chaos_","0194","Chaos_0194","","","","回到那深渊去吧...","","",""
"Integrated","Chaos_","0195","Chaos_0195","","","","进入深渊...","","",""
"Integrated","Chaos_","0196","Chaos_0196","","","","陷入深渊...","","",""
"Integrated","Chaos_","0197","Chaos_0197","","","","我建议你绕一段路。","","",""
"Integrated","Chaos_","0198","Chaos_0198","","","","留意我的召唤...","","",""
"Integrated","Chaos_","0199","Chaos_0199","","","","欢迎。","","",""
"Integrated","Chaos_","0200","Chaos_0200","","","","欢迎回来。","","",""
"Integrated","Chaos_","0201","Chaos_0201","","","","是你啊。","","",""
"Integrated","Chaos_","0202","Chaos_0202","","","","你回来了。","","",""
"Integrated","Chaos_","0203","Chaos_0203","","","","你到了。","","",""
"Integrated","Chaos_","0204","Chaos_0204","","","","你又回来了。","","",""
"Integrated","Chaos_","0205","Chaos_0205","","","","哈迪斯之子。","","",""
"Integrated","Chaos_","0206","Chaos_0206","","","","你来了。","","",""
"Integrated","Chaos_","0207","Chaos_0207","","","","贵客临门啊。","","",""
"Integrated","Chaos_","0208","Chaos_0208","","","","我预见你来到这里了。","","",""
"Integrated","Chaos_","0209","Chaos_0209","","","","终于来了。","","",""
"Integrated","Chaos_","0210","Chaos_0210","","","","啊。","","",""
"Integrated","Chaos_","0211","Chaos_0211","","","","<大笑>","","",""
"Integrated","Chaos_","0212","Chaos_0212","","","","<大笑>","","",""
"Integrated","Chaos_","0213","Chaos_0213","","","","<大笑>","","",""
"Integrated","Chaos_","0214","Chaos_0214","","","","这可不行。","","",""
"Integrated","Chaos_","0215","Chaos_0215","","","","难道你已经忘了？","","",""
"Integrated","Chaos_","0216","Chaos_0216","","","","我不这么认为。","","",""
"Integrated","Chaos_","0217","Chaos_0217","","","","我无话可说。","","",""
"Integrated","Chaos_","0218","Chaos_0218","","","","不。","","",""
"Integrated","Chaos_","0219","Chaos_0219","","","","拿着。","","",""
"Integrated","Chaos_","0220","Chaos_0220","","","","这儿。","","",""
"Integrated","Chaos_","0221","Chaos_0221","","","","见证吧。","","",""
"Integrated","Chaos_","0222","Chaos_0222","","","","活下去。","","",""
"Integrated","Chaos_","0223","Chaos_0223","","","","我给予你力量。","","",""
"Integrated","Chaos_","0224","Chaos_0224","","","","有趣。","","",""
"Integrated","Chaos_","0225","Chaos_0225","","","","有意思。","","",""
"Integrated","Chaos_","0226","Chaos_0226","","","","真是有趣。","","",""
"Integrated","Chaos_","0227","Chaos_0227","","","","确实。","","",""
"Integrated","Chaos_","0228","Chaos_0228","","","","的确。","","",""
"Integrated","Chaos_","0229","Chaos_0229","","","","既然如此...","","",""
"Integrated","Chaos_","0230","Chaos_0230","","","","那么...","","",""
"Integrated","Chaos_","0231","Chaos_0231","","","","行吧。","","",""
"Integrated","Chaos_","0232","Chaos_0232","","","","这更被偏爱吗？","","",""
"Integrated","Chaos_","0233","Chaos_0233","","","","也许选这个？","","",""
"Integrated","Chaos_","0234","Chaos_0234","","","","这个好。","","",""
"Integrated","Chaos_","0235","Chaos_0235","","","","那么这个？","","",""
"Integrated","Chaos_","0236","Chaos_0236","","","","那么是这个结果。","","",""
"Integrated","Chaos_","0237","Chaos_0237","","","","然后是这个？","","",""
"Integrated","Chaos_","0238","Chaos_0238","","","","结束了。","","",""
"Integrated","Chaos_","0239","Chaos_0239","","","","不错。","","",""
"Integrated","Chaos_","0240","Chaos_0240","","","","允许了。","","",""
"Integrated","Chaos_","0241","Chaos_0241","","","","不错的选择。","","",""
"Integrated","Chaos_","0242","Chaos_0242","","","","完美的样品。","","",""
"Integrated","Chaos_","0243","Chaos_0243","","","","留着吧，哈迪斯之子。","","",""
"Integrated","Chaos_","0244","Chaos_0244","","","","样品已收到。","","",""
"Integrated","Chaos_","0245","Chaos_0245","","","","样品已获得。","","",""
"Integrated","Chaos_","0246","Chaos_0246","","","","你抓到了一个样品。","","",""
"Integrated","Chaos_","0247","Chaos_0247","","","","你证明了比它聪明。","","",""
"Integrated","Chaos_","0248","Chaos_0248","","","","精彩的表演。","","",""
"Integrated","Chaos_","0249","Chaos_0249","","","","你避开了不幸。","","",""
"Integrated","Chaos_","0250","Chaos_0250","","","","真令人沮丧。","","",""
"Integrated","Chaos_","0251","Chaos_0251","","","","我又失望了。","","",""
"Integrated","Chaos_","0252","Chaos_0252","","","","失败者。","","",""
"Integrated","Chaos_","0253","Chaos_0253","","","","你又失败了。","","",""
"Integrated","Chaos_","0254","Chaos_0254","","","","你被胜利回绝了。","","",""
"Integrated","Chaos_","0255","Chaos_0255","","","","歼灭。","","",""
"Integrated","Chaos_","0256","Chaos_0256","","","","回到深渊去吧。","","",""
"Integrated","Chaos_","0257","Chaos_0257","","","","这是无可避免的。","","",""
"Integrated","Chaos_","0258","Chaos_0258","","","","对。","","",""
"Integrated","Chaos_","0259","Chaos_0259","","","","毁灭。","","",""
"Integrated","Chaos_","0260","Chaos_0260","","","","灾变。","","",""
"Integrated","Chaos_","0261","Chaos_0261","","","","灭绝。","","",""
"Integrated","Chaos_","0262","Chaos_0262","","","","除尽。","","",""
"Integrated","Chaos_","0263","Chaos_0263","","","","歼灭。","","",""
"Integrated","Chaos_","0264","Chaos_0264","","","","绝灭。","","",""
"Integrated","Chaos_","0265","Chaos_0265","","","","衰变。","","",""
"Integrated","Chaos_","0266","Chaos_0266","","","","死亡。","","",""
"Integrated","Chaos_","0267","Chaos_0267","","","","爆燃。","","",""
"Integrated","Chaos_","0268","Chaos_0268","","","","净化。","","",""
"Integrated","Chaos_","0269","Chaos_0269","","","","分裂。","","",""
"Integrated","Chaos_","0270","Chaos_0270","","","","灭尽。","","",""
"Integrated","Chaos_","0271","Chaos_0271","","","","毁灭。","","",""
"Integrated","Chaos_","0272","Chaos_0272","","","","值得赞赏。","","",""
"Integrated","Chaos_","0273","Chaos_0273","","","","明白了。","","",""
"Integrated","Chaos_","0274","Chaos_0274","","","","你好。","","",""
"Integrated","Chaos_","0275","Chaos_0275","","","","啊，终于。","","",""
"Integrated","Chaos_","0331","Chaos_0331","","","","这便是我的礼物可能导致的结果。","","",""
"Integrated","Chaos_","0332","Chaos_0332","","","","这一切都是命运女神的安排，也可能不是。","","",""
"Integrated","Chaos_","0333","Chaos_0333","","","","我猜测你马上就要死了，但我不知道具体会是什么方式。","","",""
"Integrated","Chaos_","0334","Chaos_0334","","","","你的死亡是件不幸的事故，但也为我带来了一些乐趣。","","",""
